"Rank","CryptoCurrency","Market Cap.","Price","Circulating Supply","Volume (24h)","Change (24h)","DateTime"
1,"Bitcoin","$585,893,150,233","$30,729.00","19,055,481","$28,117,331,998","-4.49 %",2022-06-01 16:14:12
2,"Ethereum","$226,758,477,693","$1,873.89","121,009,563","$16,579,814,631","-6.08 %",2022-06-01 16:14:12
3,"Tether","$72,651,538,891","$1.00","72,538,449,554","$49,144,774,739","0.02 %",2022-06-01 16:14:12
4,"USD Coin","$54,194,070,678","$1.00","53,994,207,205","$5,138,327,089","0.19 %",2022-06-01 16:14:12
5,"BNB","$51,279,517,154","$304.99","168,137,036","$1,713,954,419","-5.37 %",2022-06-01 16:14:12
6,"XRP","$19,721,488,556","$0.41","48,343,101,197","$1,306,423,300","-2.50 %",2022-06-01 16:14:12
7,"Cardano","$19,127,309,765","$0.57","33,820,262,544","$1,363,729,500","-10.61 %",2022-06-01 16:14:12
8,"Binance USD","$18,262,727,582","$1.00","18,206,320,284","$5,786,477,482","-0.12 %",2022-06-01 16:14:12
9,"Solana","$14,616,613,089","$42.99","339,963,437","$1,291,327,840","-7.27 %",2022-06-01 16:14:12
10,"Polkadot","$11,189,893,773","$9.96","1,117,792,308","$414,638,942","-4.24 %",2022-06-01 16:14:12
11,"Dogecoin","$11,203,323,984","$0.08","132,670,764,300","$699,807,866","-1.94 %",2022-06-01 16:14:12
12,"Wrapped Bitcoin","$8,419,859,834","$30,763.00","273,702","$308,119,808","-4.20 %",2022-06-01 16:14:12
13,"TRON","$8,240,548,623","$0.09","93,226,807,963","$1,813,498,431","8.82 %",2022-06-01 16:14:12
15,"Avalanche","$6,732,960,562","$24.82","271,404,897","$579,470,205","-8.38 %",2022-06-01 16:14:12
16,"Dai","$6,400,680,562","$1.00","6,386,583,326","$239,380,272","0.01 %",2022-06-01 16:14:12
17,"Shiba Inu","$6,205,454,321","$0.00","549,146,987,315,510","$343,194,424","-4.94 %",2022-06-01 16:14:12
18,"Cronos","$4,634,402,624","$0.18","25,263,013,692","$26,340,966","-4.02 %",2022-06-01 16:14:12
19,"Litecoin","$4,639,910,968","$65.80","70,412,071","$593,642,378","-4.57 %",2022-06-01 16:14:12
20,"LEO Token","$4,642,123,834","$4.96","935,788,829","$3,249,257","-6.98 %",2022-06-01 16:14:12
21,"Polygon","$4,262,881,492","$0.62","6,872,890,164","$380,036,897","-7.85 %",2022-06-01 16:14:12
22,"NEAR Protocol","$3,947,571,805","$5.62","702,306,683","$405,518,210","-7.56 %",2022-06-01 16:14:12
23,"FTX Token","$3,751,777,096","$27.58","136,045,993","$71,339,117","-6.11 %",2022-06-01 16:14:12
24,"Bitcoin Cash","$3,728,058,735","$194.69","19,079,044","$951,731,574","-2.04 %",2022-06-01 16:14:12
25,"Monero","$3,578,585,550","$196.80","18,128,971","$175,169,479","0.39 %",2022-06-01 16:14:12
26,"Stellar","$3,498,954,846","$0.14","24,926,765,928","$222,504,296","-5.45 %",2022-06-01 16:14:12
27,"Chainlink","$3,354,610,035","$7.18","467,009,550","$398,042,477","-5.45 %",2022-06-01 16:14:12
29,"OKB","$3,072,906,191","$11.80","260,143,734","$5,436,011","-4.21 %",2022-06-01 16:14:12
30,"Ethereum Classic","$3,082,705,856","$22.83","135,063,968","$314,861,805","-4.37 %",2022-06-01 16:14:12
31,"Cosmos Hub","$2,901,471,319","$9.91","292,586,164","$245,943,933","-5.99 %",2022-06-01 16:14:12
